product_key,n_versions,n_cog,n_non_cog,first_month,first_name
S1A_IW_GRDH_1SDV_20190102T015346_20190102T015415_025292_02CC3C_2BD2,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T015346_20190102T015415_025292_02CC3C_2BD2.SAFE
S1A_IW_GRDH_1SDV_20190102T015555_20190102T015620_025292_02CC3C_F241,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T015555_20190102T015620_025292_02CC3C_F241.SAFE
S1A_IW_GRDH_1SDV_20190102T015620_20190102T015645_025292_02CC3C_360D,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T015620_20190102T015645_025292_02CC3C_360D.SAFE
S1A_IW_GRDH_1SDV_20190102T015915_20190102T015941_025292_02CC3C_99A6,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T015915_20190102T015941_025292_02CC3C_99A6.SAFE
S1A_IW_GRDH_1SDV_20190102T021043_20190102T021108_025292_02CC3E_FE3C,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T021043_20190102T021108_025292_02CC3E_FE3C.SAFE
S1A_IW_GRDH_1SDV_20190102T034310_20190102T034335_025293_02CC44_B668,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T034310_20190102T034335_025293_02CC44_B668.SAFE
S1A_IW_GRDH_1SDV_20190102T034335_20190102T034400_025293_02CC44_964F,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T034335_20190102T034400_025293_02CC44_964F.SAFE
S1A_IW_GRDH_1SDV_20190102T034450_20190102T034503_025293_02CC44_18E0,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T034450_20190102T034503_025293_02CC44_18E0.SAFE
S1A_IW_GRDH_1SDV_20190102T034644_20190102T034709_025293_02CC45_5DC2,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T034644_20190102T034709_025293_02CC45_5DC2.SAFE
S1A_IW_GRDH_1SDV_20190102T034709_20190102T034734_025293_02CC45_512A,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T034709_20190102T034734_025293_02CC45_512A.SAFE
S1A_IW_GRDH_1SDV_20190102T034734_20190102T034759_025293_02CC45_4023,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T034734_20190102T034759_025293_02CC45_4023.SAFE
S1A_IW_GRDH_1SDV_20190102T050314_20190102T050339_025294_02CC4C_8635,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T050314_20190102T050339_025294_02CC4C_8635.SAFE
S1A_IW_GRDH_1SDV_20190102T050339_20190102T050404_025294_02CC4C_4AD9,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T050339_20190102T050404_025294_02CC4C_4AD9.SAFE
S1A_IW_GRDH_1SDV_20190102T050454_20190102T050519_025294_02CC4C_1D9C,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T050454_20190102T050519_025294_02CC4C_1D9C.SAFE
S1A_IW_GRDH_1SDV_20190102T050519_20190102T050544_025294_02CC4C_AA9E,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T050519_20190102T050544_025294_02CC4C_AA9E.SAFE
S1A_IW_GRDH_1SDV_20190102T050659_20190102T050724_025294_02CC4C_ACB2,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T050659_20190102T050724_025294_02CC4C_ACB2.SAFE
S1A_IW_GRDH_1SDV_20190102T051226_20190102T051251_025294_02CC4C_0AC3,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T051226_20190102T051251_025294_02CC4C_0AC3.SAFE
S1A_IW_GRDH_1SDV_20190102T052303_20190102T052328_025294_02CC4E_8ADE,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T052303_20190102T052328_025294_02CC4E_8ADE.SAFE
S1A_IW_GRDH_1SDV_20190312T062619_20190312T062644_026301_02F096_4899,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190312T062619_20190312T062644_026301_02F096_4899.SAFE
S1A_IW_GRDH_1SDV_20190312T062849_20190312T062914_026301_02F096_85F9,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190312T062849_20190312T062914_026301_02F096_85F9.SAFE
S1A_IW_GRDH_1SDV_20190312T172455_20190312T172522_026308_02F0DE_4412,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190312T172455_20190312T172522_026308_02F0DE_4412.SAFE
S1A_IW_GRDH_1SDV_20190312T172713_20190312T172742_026308_02F0DF_A52C,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190312T172713_20190312T172742_026308_02F0DF_A52C.SAFE
S1A_IW_GRDH_1SDV_20190312T190545_20190312T190610_026309_02F0EA_053D,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190312T190545_20190312T190610_026309_02F0EA_053D.SAFE
S1A_IW_GRDH_1SDV_20190313T230000_20190313T230025_026326_02F180_9205,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230000_20190313T230025_026326_02F180_9205.SAFE
S1A_IW_GRDH_1SDV_20190313T230025_20190313T230050_026326_02F180_D00C,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230025_20190313T230050_026326_02F180_D00C.SAFE
S1A_IW_GRDH_1SDV_20190313T230050_20190313T230115_026326_02F180_55D6,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230050_20190313T230115_026326_02F180_55D6.SAFE
S1A_IW_GRDH_1SDV_20190313T230115_20190313T230140_026326_02F180_DA98,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230115_20190313T230140_026326_02F180_DA98.SAFE
S1A_IW_GRDH_1SDV_20190313T230140_20190313T230205_026326_02F180_EE36,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230140_20190313T230205_026326_02F180_EE36.SAFE
S1A_IW_GRDH_1SDV_20190313T230205_20190313T230230_026326_02F180_A15A,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230205_20190313T230230_026326_02F180_A15A.SAFE
S1A_IW_GRDH_1SDV_20190313T230230_20190313T230255_026326_02F180_8E0E,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230230_20190313T230255_026326_02F180_8E0E.SAFE
S1A_IW_GRDH_1SDV_20190313T230255_20190313T230320_026326_02F180_41BF,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230255_20190313T230320_026326_02F180_41BF.SAFE
S1A_IW_GRDH_1SDV_20190313T230320_20190313T230345_026326_02F180_C009,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230320_20190313T230345_026326_02F180_C009.SAFE
S1A_IW_GRDH_1SDV_20190313T230345_20190313T230410_026326_02F180_49F7,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230345_20190313T230410_026326_02F180_49F7.SAFE
S1A_IW_GRDH_1SDV_20190313T230410_20190313T230435_026326_02F180_D7A9,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230410_20190313T230435_026326_02F180_D7A9.SAFE
S1A_IW_GRDH_1SDV_20190313T230435_20190313T230500_026326_02F180_898F,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230435_20190313T230500_026326_02F180_898F.SAFE
S1A_IW_GRDH_1SDV_20190313T230500_20190313T230525_026326_02F180_DC06,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230500_20190313T230525_026326_02F180_DC06.SAFE
S1A_IW_GRDH_1SDV_20190313T230525_20190313T230550_026326_02F180_9224,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230525_20190313T230550_026326_02F180_9224.SAFE
S1A_IW_GRDH_1SDV_20190313T230550_20190313T230615_026326_02F180_D184,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230550_20190313T230615_026326_02F180_D184.SAFE
S1A_IW_GRDH_1SDV_20190313T230615_20190313T230640_026326_02F180_C73E,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230615_20190313T230640_026326_02F180_C73E.SAFE
S1A_IW_GRDH_1SDV_20190313T230640_20190313T230705_026326_02F180_0EB1,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230640_20190313T230705_026326_02F180_0EB1.SAFE
S1A_IW_GRDH_1SDV_20190313T230705_20190313T230730_026326_02F180_70F7,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230705_20190313T230730_026326_02F180_70F7.SAFE
S1A_IW_GRDH_1SDV_20190313T230730_20190313T230755_026326_02F180_E289,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230730_20190313T230755_026326_02F180_E289.SAFE
S1A_IW_GRDH_1SDV_20190313T230755_20190313T230820_026326_02F180_90C0,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230755_20190313T230820_026326_02F180_90C0.SAFE
S1A_IW_GRDH_1SDV_20190313T230820_20190313T230844_026326_02F180_E24D,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T230820_20190313T230844_026326_02F180_E24D.SAFE
S1A_IW_GRDH_1SDV_20190313T233407_20190313T233436_026326_02F182_A6F0,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T233407_20190313T233436_026326_02F182_A6F0.SAFE
S1A_IW_GRDH_1SDV_20190313T233436_20190313T233501_026326_02F182_1CBC,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T233436_20190313T233501_026326_02F182_1CBC.SAFE
S1A_IW_GRDH_1SDV_20190313T233501_20190313T233526_026326_02F182_4F53,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T233501_20190313T233526_026326_02F182_4F53.SAFE
S1A_IW_GRDH_1SDV_20190313T233526_20190313T233551_026326_02F182_67CA,2,0,2,2019-03,S1A_IW_GRDH_1SDV_20190313T233526_20190313T233551_026326_02F182_67CA.SAFE
